action,pair,amount,price,total_usdt,initial_usd,current_usd,profit
buy,BTC,0.00014772438706566629,67693.63,90.0,,,
buy,BTC,0.0001329787037561017,67680.01,81.0,,,
buy,BTC,0.00011971642283190232,67659.89,72.9,,,
buy,BTC,0.00010783543513816916,67603.01,65.61,,,
buy,BTC,9.685922771263414e-05,67737.48,59.049,,,
buy,BTC,8.723915530974856e-05,67686.35,53.1441,,,
buy,BTC,7.853887581322255e-05,67665.98,47.82969,,,
buy,BTC,7.068815356114389e-05,67662.95,43.046721,,,
buy,BTC,6.361670564502721e-05,67665.75,38.7420489,,,
buy,BTC,5.723171636433255e-05,67693.32,34.86784401,,,
buy,BTC,5.153053681232518e-05,67664.43,31.381059608999998,,,
buy,BTC,4.6414195000481426e-05,67610.91,28.2429536481,,,
buy,BTC,4.1737532730537334e-05,67668.0,25.41865828329,,,
buy,BTC,3.758373547237279e-05,67632.07,22.876792454961,,,
buy,BTC,3.382683239450367e-05,67629.13,20.589113209464898,,,
buy,BTC,3.044421217803918e-05,67628.99,18.53020188851841,,,
buy,BTC,2.735824528890156e-05,67731.69,16.67718169966657,,,
buy,BTC,2.463249098970012e-05,67704.0,15.009463529699913,,,
buy,BTC,2.2166383676599532e-05,67712.73,13.50851717672992,,,
buy,BTC,1.9963811695806667e-05,67665.02,12.157665459056929,,,
buy,BTC,1.7957324641053258e-05,67703.1,10.941898913151237,,,
buy,BTC,1.6160735243668294e-05,67706.69,9.847709021836113,,,
buy,BTC,1.4539007742215117e-05,67733.02,8.862938119652503,,,
buy,BTC,1.3097635507316364e-05,67668.23,7.976644307687252,,,
buy,BTC,1.1785144600417104e-05,67683.89,7.178979876918527,,,
buy,BTC,1.0615500977073215e-05,67627.33,6.461081889226675,,,
buy,BTC,9.546586321155853e-06,67679.5,5.814973700304007,,,
buy,BTC,8.593050075622148e-06,67670.66,5.233476330273606,,,
buy,BTC,7.732620666622745e-06,67680.5,4.710128697246246,,,
buy,BTC,6.961408538601205e-06,67660.57,4.239115827521621,,,
buy,BTC,6.262172720336144e-06,67694.01,3.815204244769459,,,
buy,BTC,5.63363854467865e-06,67721.85,3.4336838202925133,,,
buy,BTC,5.069779105142215e-06,67728.47,3.090315438263262,,,
buy,BTC,4.563522831031715e-06,67717.76,2.781283894436936,,,
buy,BTC,4.102868210231482e-06,67788.77,2.5031555049932424,,,
buy,BTC,3.6931556120501265e-06,67778.23,2.252839954493918,,,
buy,BTC,3.3247426306912487e-06,67759.83,2.027555959044526,,,
buy,BTC,2.9940278494414373e-06,67720.01,1.8248003631400733,,,
buy,BTC,2.6932331102011105e-06,67755.01,1.642320326826066,,,
buy,BTC,2.4223013670000975e-06,67800.0,1.4780882941434594,,,
buy,BTC,2.1798918232739243e-06,67805.58,1.3302794647291134,,,
buy,BTC,1.961967745137464e-06,67803.33,1.197251518256202,,,
buy,BTC,1.7669261917327619e-06,67759.0,1.0775263664305819,,,
buy,BTC,1.5898060829738692e-06,67777.22,0.9697737297875236,,,
buy,BTC,1.4305183797200214e-06,67791.77,0.8727963568087713,,,
buy,BTC,1.2893778294763688e-06,67691.28,0.7855167211278942,,,
buy,BTC,1.1606950208025132e-06,67676.41,0.7069650490151047,,,
buy,BTC,1.04415355726159e-06,67707.0,0.6362685441135942,,,
buy,BTC,9.40027539032491e-07,67686.16,0.5726416897022348,,,
buy,BTC,8.458517062290462e-07,67700.01,0.5153775207320114,,,
buy,BTC,7.618967603073967e-07,67644.01,0.4638397686588102,,,
buy,BTC,6.85383461419914e-07,67675.95,0.4174557917929292,,,
buy,BTC,6.17063306894501e-07,67652.02,0.37571021261363624,,,
buy,BTC,5.542182616718797e-07,67791.02,0.3381391913522726,,,
buy,BTC,4.990301568365075e-07,67759.27,0.30432527221704536,,,
buy,BTC,4.4930113449382875e-07,67733.03,0.27389274499534083,,,
buy,BTC,4.042160377150502e-07,67759.0,0.24650347049580673,,,
buy,BTC,3.6383900165726224e-07,67750.7,0.22185312344622604,,,
buy,BTC,3.276005981727366e-07,67720.61,0.19966781110160342,,,
buy,BTC,2.948061039892846e-07,67728.52,0.17970102999144308,,,
buy,BTC,2.6511364855579996e-07,67782.64,0.16173092699229877,,,
buy,BTC,2.3870398778207854e-07,67753.76,0.1455578342930689,,,
buy,BTC,2.150041547897392e-07,67700.01,0.13100205086376202,,,
buy,BTC,1.9338299635583866e-07,67742.28,0.11790184577738581,,,
buy,BTC,1.7396837304105798e-07,67772.0,0.10611166119964724,,,
buy,BTC,1.5651486226236213e-07,67796.54,0.09550049507968252,,,
buy,BTC,1.41021211369887e-07,67720.66,0.08595044557171426,,,
buy,BTC,1.2684538501649318e-07,67760.01,0.07735540101454283,,,
buy,BTC,1.1406830911775368e-07,67814.98,0.06961986091308854,,,
buy,BTC,1.0274476186335945e-07,67760.01,0.06265787482177969,,,
buy,BTC,9.242082908363497e-08,67796.27,0.056392087339601715,,,
buy,BTC,8.311869635619549e-08,67845.25,0.050752878605641545,,,
buy,BTC,7.488321625996673e-08,67776.04,0.04567759074507739,,,
buy,BTC,6.740546651319219e-08,67765.41,0.041109831670569655,,,
buy,BTC,6.065000022213785e-08,67782.08,0.03699884850351269,,,
buy,BTC,5.4609548767199317e-08,67751.61,0.03329896365316142,,,
buy,BTC,4.916651837971262e-08,67726.91,0.029969067287845277,,,
buy,BTC,4.422379335947387e-08,67766.84,0.02697216055906075,,,
buy,BTC,3.980903901129877e-08,67753.86,0.024274944503154677,,,
buy,BTC,3.580536894903321e-08,67796.94,0.02184745005283921,,,
buy,BTC,3.2216364185081846e-08,67814.76,0.01966270504755529,,,
buy,BTC,2.896302485506897e-08,67888.99,0.01769643454279976,,,
buy,BTC,2.6098676328170055e-08,67805.87,0.015926791088519784,,,
buy,BTC,2.3468042314229208e-08,67865.87,0.014334111979667805,,,
buy,BTC,2.1137268750689837e-08,67814.4,0.012900700781701024,,,
buy,BTC,1.904021958778101e-08,67755.0,0.011610630703530921,,,
buy,BTC,1.7127269355758935e-08,67790.32,0.01044956763317783,,,
buy,BTC,1.5422345694416273e-08,67756.02,0.009404610869860046,,,
buy,BTC,1.3880875273529569e-08,67752.29,0.00846414978287404,,,
buy,BTC,1.2496299502643149e-08,67733.25,0.007617734804586636,,,
buy,BTC,1.1236339517104723e-08,67795.52,0.0068559613241279726,,,
buy,BTC,1.0112214836997837e-08,67798.81,0.0061703651917151756,,,
buy,BTC,9.100487314369418e-09,67802.58,0.005553328672543658,,,
buy,BTC,8.192021346886948e-09,67789.48,0.004997995805289292,,,
buy,BTC,7.376625619389549e-09,67754.5,0.0044981962247603625,,,
buy,BTC,6.6332994281430486e-09,67812.35,0.004048376602284326,,,
buy,BTC,5.967166835609125e-09,67844.2,0.0036435389420558933,,,
buy,BTC,5.369783719561446e-09,67852.62,0.003279185047850304,,,
buy,BTC,4.8352182314308086e-09,67818.76,0.0029512665430652734,,,
buy,BTC,4.352693143181046e-09,67803.23,0.002656139888758746,,,
buy,BTC,3.920155087039162e-09,67755.99,0.0023905258998828715,,,
buy,BTC,3.529576288418511e-09,67728.41,0.0021514733098945845,,,
buy,BTC,3.1738519591673453e-09,67787.45,0.001936325978905126,,,
buy,BTC,2.8566795789248036e-09,67782.4,0.0017426933810146135,,,
buy,BTC,2.570571324833291e-09,67794.01,0.001568424042913152,,,
buy,BTC,2.3119086720351226e-09,67841.09,0.001411581638621837,,,
buy,BTC,2.0818550735433235e-09,67804.03,0.0012704234747596532,,,
buy,BTC,1.8752191574063488e-09,67748.0,0.0011433811272836879,,,
buy,BTC,1.6876476694442139e-09,67749.99,0.001029043014555319,,,
buy,BTC,1.5195328813839592e-09,67721.01,0.0009261387130997872,,,
buy,BTC,1.3668622636479973e-09,67756.55,0.0008335248417898084,,,
buy,BTC,1.2302259678273518e-09,67753.8,0.0007501723576108276,,,
buy,BTC,1.106293567054932e-09,67809.52,0.0006751551218497448,,,
