Date,Open,High,Low,Close,Adj Close,Volume
2024-05-01,3014.04000000,3023.24000000,2817.00000000,2972.46000000,2972.46000000,624963.77730000
2024-05-02,2972.46000000,3016.72000000,2893.26000000,2986.19000000,2986.19000000,365939.71910000
2024-05-03,2986.19000000,3126.99000000,2958.32000000,3102.61000000,3102.61000000,355825.83910000
2024-05-04,3102.61000000,3168.00000000,3092.85000000,3117.23000000,3117.23000000,196263.94880000
2024-05-05,3117.24000000,3171.93000000,3072.99000000,3136.41000000,3136.41000000,218760.26620000
2024-05-06,3136.40000000,3221.40000000,3046.35000000,3062.60000000,3062.60000000,355135.30270000
2024-05-07,3062.59000000,3129.85000000,2998.00000000,3005.69000000,3005.69000000,298796.68290000
2024-05-08,3005.69000000,3038.15000000,2936.48000000,2974.21000000,2974.21000000,266934.81250000
2024-05-09,2974.20000000,3059.00000000,2950.77000000,3036.23000000,3036.23000000,238561.74620000
2024-05-10,3036.24000000,3053.89000000,2878.03000000,2909.99000000,2909.99000000,327855.87580000
2024-05-11,2909.98000000,2945.67000000,2886.46000000,2912.45000000,2912.45000000,138163.10870000
2024-05-12,2912.45000000,2955.20000000,2901.17000000,2929.29000000,2929.29000000,107670.63230000
2024-05-13,2929.30000000,2996.40000000,2864.76000000,2950.99000000,2950.99000000,368664.76480000
2024-05-14,2950.99000000,2960.60000000,2862.00000000,2881.93000000,2881.93000000,269675.30370000
2024-05-15,2881.93000000,3041.36000000,2863.75000000,3032.55000000,3032.55000000,350254.31880000
2024-05-16,3032.55000000,3041.24000000,2922.80000000,2944.70000000,2944.70000000,293874.15130000
2024-05-17,2944.70000000,3120.00000000,2933.06000000,3092.01000000,3092.01000000,357724.77310000
2024-05-18,3092.00000000,3146.98000000,3083.61000000,3122.94000000,3122.94000000,199976.54560000
2024-05-19,3122.94000000,3136.64000000,3053.38000000,3071.19000000,3071.19000000,166145.01020000
2024-05-20,3071.20000000,3694.00000000,3047.67000000,3661.78000000,3661.78000000,847107.88280000
2024-05-21,3661.79000000,3841.54000000,3624.28000000,3789.60000000,3789.60000000,952437.26940000
2024-05-22,3789.59000000,3813.69000000,3653.15000000,3737.73000000,3737.73000000,574938.30990000
2024-05-23,3737.72000000,3949.29000000,3498.00000000,3783.61000000,3783.61000000,1127866.07600000
2024-05-24,3783.60000000,3829.61000000,3626.10000000,3728.28000000,3728.28000000,479418.43180000
2024-05-25,3728.28000000,3779.43000000,3709.03000000,3749.26000000,3749.26000000,158711.89920000
2024-05-26,3749.25000000,3884.20000000,3731.17000000,3826.47000000,3826.47000000,292208.29370000
2024-05-27,3826.47000000,3977.00000000,3823.37000000,3894.22000000,3894.22000000,363717.64730000
