action,pair,amount,price,total_usdt,initial_usd,current_usd,profit
buy,DATA/BTC,0.00016482064793963476,60672.01,90.0,,,
sell,DATA/BTC,4.120516198490869e-05,58364.97,92.40493804309433,,,
sell,DATA/BTC,3.090387148868152e-05,59060.6,94.23013923553876,,,
sell,DATA/BTC,2.3177903616511137e-05,62882.01,95.68761240253124,,,
buy,DATA/BTC,0.0001497645518580819,63892.03,86.11885116227812,,,
buy,DATA/BTC,0.00013453547953864607,64012.0,77.50696604605031,,,
buy,DATA/BTC,0.00012270520886040428,63165.18,69.75626944144528,,,
buy,DATA/BTC,0.0001119466412228727,62312.07,62.780642497300754,,,
sell,DATA/BTC,0.00014712139808238458,61193.03,71.78344662379806,,,
buy,DATA/BTC,0.00011380829917842226,63074.0,64.60510196141826,,,
buy,DATA/BTC,0.00010625840886062359,60799.99,58.14459176527643,,,
sell,DATA/BTC,0.00016535772557154987,60825.99,68.20263912731427,,,
sell,DATA/BTC,0.0001240182941786624,61484.0,75.82777992659516,,,
buy,DATA/BTC,0.00012047612249457406,62940.09,68.24500193393564,,,
sell,DATA/BTC,0.00012313275125764032,61577.49,75.82720769317548,,,
buy,DATA/BTC,0.00011453134698260864,66206.51,68.24448692385793,,,
sell,DATA/BTC,0.0001209824001888824,65235.21,76.13679920648372,,,
buy,DATA/BTC,0.00011359632252101295,67024.0,68.52311928583535,,,
buy,DATA/BTC,0.00010240292083986203,66915.2,61.67080735725182,,,
sell,DATA/BTC,0.00014473661098188056,66274.0,71.26308151346497,,,
buy,DATA/BTC,9.974311102955602e-05,71446.62,64.13677336211848,,,
buy,DATA/BTC,9.143020827309453e-05,70148.34,57.72309602590663,,,
buy,DATA/BTC,8.345513489875122e-05,69166.62,51.95078642331596,,,
sell,DATA/BTC,0.00017720957178676085,67969.66,63.99566076640769,,,
sell,DATA/BTC,0.00013290717884007063,68549.99,73.10644654682274,,,
buy,DATA/BTC,0.00010550707996417225,69290.56,65.79580189214046,,,
sell,DATA/BTC,0.00012605715412109604,68507.67,74.43168380780764,,,
buy,DATA/ETH,0.0024303509058609756,3062.59,66.98851542702688,,,
sell,DATA/ETH,0.0006075877264652439,3005.69,68.8147357805862,,,
buy,DATA/ETH,0.002313722539862357,2974.2,61.93326220252759,,,
sell,DATA/ETH,0.0010341214298145221,3036.24,65.07310305258763,,,
buy,DATA/ETH,0.0022362044774392824,2909.98,58.565792747328864,,,
buy,DATA/ETH,0.0020108771909330245,2912.45,52.70921347259598,,,
sell,DATA/ETH,0.0018373614894539683,2929.3,58.09139648365348,,,
buy,DATA/ETH,0.0019685392523747453,2950.99,52.28225683528814,,,
buy,DATA/ETH,0.0018141404140727966,2881.93,47.054031151759325,,,
buy,DATA/ETH,0.0015516324925148577,3032.55,42.34862803658339,,,
buy,DATA/ETH,0.0014381304729372568,2944.7,38.113765232925054,,,
sell,DATA/ETH,0.0030711317750653903,3092.0,47.60970468142724,,,
buy,DATA/ETH,0.0015245155104301473,3122.94,42.848734213284516,,,
sell,DATA/ETH,0.0026844777089065795,3071.2,51.0933021528784,,,
buy,DATA/ETH,0.0013953094566558544,3661.79,45.98397193759056,,,
buy,DATA/ETH,0.0012134286806116377,3789.59,41.385574743831505,,,
buy,DATA/ETH,0.0011072411722609374,3737.72,37.24701726944836,,,
buy,DATA/ETH,0.000984433271737191,3783.6,33.52231554250352,,,
sell,DATA/ETH,0.0031884614269963394,3728.28,45.40979251154543,,,
buy,DATA/ETH,0.0012111700343147413,3749.25,40.86881326039089,,,
sell,DATA/ETH,0.00269413857882594,3826.47,51.17785370811098,,,
,,,,,100.0,108.91143499180372,8.911434991803716
