action,pair,amount,price,total_usdt,initial_usd,current_usd,profit
buy,DATA/BTC,0.00016973899913059684,58913.98,90.0,,,
buy,DATA/BTC,0.00015802098729405915,56954.46,81.0,,,
buy,DATA/BTC,0.0001412091794334583,57361.71,72.9,,,
buy,DATA/BTC,0.0001258871025814109,57909.03,65.61,,,
buy,DATA/BTC,0.0001133540818008389,57880.58,59.049,,,
buy,DATA/BTC,0.00010117198723823555,58364.97,53.1441,,,
buy,DATA/BTC,9.199685635298863e-05,57767.3,47.82969,,,
buy,DATA/BTC,8.374663842526584e-05,57112.37,43.046721,,,
buy,DATA/BTC,7.491091969424968e-05,57463.88,38.7420489,,,
buy,DATA/BTC,6.744447510291964e-05,57442.88,34.86784401,,,
buy,DATA/BTC,6.074936282400429e-05,57396.23,31.381059608999998,,,
buy,DATA/BTC,5.459040505826172e-05,57484.57,28.2429536481,,,
buy,DATA/BTC,4.9008597034595863e-05,57628.57,25.41865828329,,,
buy,DATA/BTC,4.406758383041718e-05,57681.08,22.876792454961,,,
buy,DATA/BTC,3.955539665371311e-05,57834.82,20.589113209464898,,,
buy,DATA/BTC,3.561861016643707e-05,57804.37,18.53020188851841,,,
buy,DATA/BTC,3.2058390770257004e-05,57801.41,16.67718169966657,,,
buy,DATA/BTC,2.8478959235191204e-05,58559.66,15.009463529699913,,,
buy,DATA/BTC,2.5632411472288704e-05,58556.58,13.50851717672992,,,
buy,DATA/BTC,2.3111148558089126e-05,58450.22,12.157665459056929,,,
buy,DATA/BTC,2.0586930713804205e-05,59055.26,10.941898913151237,,,
buy,DATA/BTC,1.846292753183583e-05,59264.16,9.847709021836113,,,
buy,DATA/BTC,1.668607449657096e-05,59017.53,8.862938119652503,,,
buy,DATA/BTC,1.49736478846048e-05,59190.24,7.976644307687252,,,
buy,DATA/BTC,1.3432420825992217e-05,59383.52,7.178979876918527,,,
buy,DATA/BTC,1.2095782347620395e-05,59351.1,6.461081889226675,,,
buy,DATA/BTC,1.1001809016442354e-05,58727.45,5.814973700304007,,,
buy,DATA/BTC,9.837115410277247e-06,59112.59,5.233476330273606,,,
buy,DATA/BTC,8.821258647305836e-06,59328.0,4.710128697246246,,,
buy,DATA/BTC,7.97507762746441e-06,59060.6,4.239115827521621,,,
buy,DATA/BTC,7.18107038818837e-06,59031.81,3.815204244769459,,,
buy,DATA/BTC,6.432529905480524e-06,59311.1,3.4336838202925133,,,
buy,DATA/BTC,5.766656988000443e-06,59543.75,3.090315438263262,,,
buy,DATA/BTC,5.174648215536865e-06,59720.3,2.781283894436936,,,
buy,DATA/BTC,4.666270542978552e-06,59604.0,2.5031555049932424,,,
buy,DATA/BTC,4.2053810496994465e-06,59522.68,2.252839954493918,,,
buy,DATA/BTC,3.801956728353285e-06,59254.75,2.027555959044526,,,
buy,DATA/BTC,3.4254614134652245e-06,59190.74,1.8248003631400733,,,
buy,DATA/BTC,3.0810803890995716e-06,59225.99,1.642320326826066,,,
buy,DATA/BTC,2.761078814477514e-06,59481.11,1.4780882941434594,,,
buy,DATA/BTC,2.503536659535558e-06,59040.01,1.3302794647291134,,,
buy,DATA/BTC,2.2436410603431435e-06,59291.1,1.197251518256202,,,
buy,DATA/BTC,1.9743268057192365e-06,60641.0,1.0775263664305819,,,
buy,DATA/BTC,1.7466805637394452e-06,61689.95,0.9697737297875236,,,
buy,DATA/BTC,1.5738440255072912e-06,61618.16,0.8727963568087713,,,
buy,DATA/BTC,1.4147931388224091e-06,61690.74,0.7855167211278942,,,
buy,DATA/BTC,1.2734942465028602e-06,61682.0,0.7069650490151047,,,
buy,DATA/BTC,1.1438482981787881e-06,61805.84,0.6362685441135942,,,
buy,DATA/BTC,1.0290753537992909e-06,61829.15,0.5726416897022348,,,
buy,DATA/BTC,9.226138484829616e-07,62067.32,0.5153775207320114,,,
buy,DATA/BTC,8.193602586137318e-07,62899.99,0.4638397686588102,,,
buy,DATA/BTC,7.393282678102749e-07,62738.0,0.4174557917929292,,,
buy,DATA/BTC,6.649246585157584e-07,62782.42,0.37571021261363624,,,
buy,DATA/BTC,5.974844198104295e-07,62882.01,0.3381391913522726,,,
buy,DATA/BTC,5.360142745445756e-07,63083.99,0.30432527221704536,,,
buy,DATA/BTC,4.84162414038948e-07,62856.03,0.27389274499534083,,,
buy,DATA/BTC,4.368370136835217e-07,62699.07,0.24650347049580673,,,
buy,DATA/BTC,3.929970513612122e-07,62724.0,0.22185312344622604,,,
buy,DATA/BTC,3.5182396940693176e-07,63057.99,0.19966781110160342,,,
buy,DATA/BTC,3.150129048345212e-07,63384.01,0.17970102999144308,,,
buy,DATA/BTC,2.8538958232583564e-07,62966.92,0.16173092699229877,,,
buy,DATA/BTC,2.56882812508863e-07,62959.03,0.1455578342930689,,,
buy,DATA/BTC,2.304554226829535e-07,63160.95,0.13100205086376202,,,
buy,DATA/BTC,2.0734799867008443e-07,63179.8,0.11790184577738581,,,
buy,DATA/BTC,1.8301800468075704e-07,64420.9,0.10611166119964724,,,
buy,DATA/BTC,1.6612835284797754e-07,63873.3,0.09550049507968252,,,
buy,DATA/BTC,1.4906500836427136e-07,64066.34,0.08595044557171426,,,
buy,DATA/BTC,1.3486653941897736e-07,63730.0,0.07735540101454283,,,
buy,DATA/BTC,1.2121046090689937e-07,63819.08,0.06961986091308854,,,
buy,DATA/BTC,1.094494094374892e-07,63609.17,0.06265787482177969,,,
buy,DATA/BTC,9.839023780872782e-08,63683.02,0.056392087339601715,,,
buy,DATA/BTC,8.885779236125716e-08,63463.3,0.050752878605641545,,,
buy,DATA/BTC,7.974541773566586e-08,63643.63,0.04567759074507739,,,
buy,DATA/BTC,7.145925324126169e-08,63921.17,0.041109831670569655,,,
buy,DATA/BTC,6.436713068376877e-08,63867.74,0.03699884850351269,,,
buy,DATA/BTC,5.789762864825124e-08,63903.91,0.03329896365316142,,,
buy,DATA/BTC,5.234540435986562e-08,63613.92,0.029969067287845277,,,
buy,DATA/BTC,4.690579918629175e-08,63892.03,0.02697216055906075,,,
buy,DATA/BTC,4.246947632270053e-08,63509.52,0.024274944503154677,,,
buy,DATA/BTC,3.833967354764116e-08,63315.47,0.02184745005283921,,,
buy,DATA/BTC,3.4600668104975334e-08,63141.7,0.01966270504755529,,,
buy,DATA/BTC,3.1094197630295454e-08,63235.93,0.01769643454279976,,,
buy,DATA/BTC,2.7936508743283838e-08,63345.19,0.015926791088519784,,,
buy,DATA/BTC,2.5195970313894277e-08,63211.66,0.014334111979667805,,,
buy,DATA/BTC,2.261513406654106e-08,63382.83,0.012900700781701024,,,
buy,DATA/BTC,2.0240565320759485e-08,63736.86,0.011610630703530921,,,
buy,DATA/BTC,1.8236210817884842e-08,63668.0,0.01044956763317783,,,
buy,DATA/BTC,1.6411195243317156e-08,63673.41,0.009404610869860046,,,
buy,DATA/BTC,1.4766578497716065e-08,63688.49,0.00846414978287404,,,
buy,DATA/BTC,1.325430445317964e-08,63859.63,0.007617734804586636,,,
buy,DATA/BTC,1.1954015773615002e-08,63725.32,0.0068559613241279726,,,
buy,DATA/BTC,1.0692406343252779e-08,64119.91,0.0061703651917151756,,,
buy,DATA/BTC,9.626153243525508e-09,64100.01,0.005553328672543658,,,
buy,DATA/BTC,8.619347967834893e-09,64428.64,0.004997995805289292,,,
buy,DATA/BTC,7.770274253426965e-09,64322.0,0.0044981962247603625,,,
buy,DATA/BTC,7.0045722768699785e-09,64218.0,0.004048376602284326,,,
buy,DATA/BTC,6.332256108868895e-09,63932.61,0.0036435389420558933,,,
buy,DATA/BTC,5.703729436902873e-09,63879.94,0.003279185047850304,,,
buy,DATA/BTC,5.144725961687532e-09,63738.77,0.0029512665430652734,,,
buy,DATA/BTC,4.620854884386934e-09,63868.41,0.002656139888758746,,,
buy,DATA/BTC,4.159316430985129e-09,63860.01,0.0023905258998828715,,,
buy,DATA/BTC,3.734496500473148e-09,64012.0,0.0021514733098945845,,,
buy,DATA/BTC,3.3502641624493946e-09,64218.02,0.001936325978905126,,,
buy,DATA/BTC,3.018565697632923e-09,64147.22,0.0017426933810146135,,,
buy,DATA/BTC,2.7303782106227007e-09,63826.08,0.001568424042913152,,,
buy,DATA/BTC,2.45578172079197e-09,63866.59,0.001411581638621837,,,
buy,DATA/BTC,2.199890001921324e-09,64166.01,0.0012704234747596532,,,
buy,DATA/BTC,1.9792557063558783e-09,64186.93,0.0011433811272836879,,,
buy,DATA/BTC,1.7801350945923542e-09,64230.02,0.001029043014555319,,,
buy,DATA/BTC,1.594408206528928e-09,64540.75,0.0009261387130997872,,,
buy,DATA/BTC,1.4217001741088337e-09,65143.04,0.0008335248417898084,,,
buy,DATA/BTC,1.2790754130052211e-09,65166.2,0.0007501723576108276,,,
buy,DATA/BTC,1.1720131897913103e-09,64007.16,0.0006751551218497448,,,
buy,DATA/BTC,1.0515853435670532e-09,64203.55,0.0006076396096647704,,,
buy,DATA/BTC,9.554984828987305e-10,63593.99,0.0005468756486982934,,,
buy,DATA/BTC,8.562322891421082e-10,63870.01,0.0004921880838284641,,,
buy,DATA/BTC,7.77892775945595e-10,63271.97,0.0004429692754456177,,,
buy,DATA/BTC,6.961422017717461e-10,63632.01,0.0003986723479010559,,,
buy,DATA/BTC,6.308863434903363e-10,63192.42,0.0003588051131109503,,,
buy,DATA/BTC,5.679999485687972e-10,63169.92,0.00032292460179985527,,,
buy,DATA/BTC,5.093447977915698e-10,63400.0,0.0002906321416198697,,,
buy,DATA/BTC,4.597155039858743e-10,63220.0,0.00026156892745788274,,,
buy,DATA/BTC,4.1316700984118153e-10,63308.28,0.00023541203471209447,,,
buy,DATA/BTC,3.704342414678115e-10,63550.29,0.00021187083124088503,,,
