Date,Open,High,Low,Close,Adj Close,Volume
2020-10-21,1.045041,1.045041,0.708287,0.773266,0.773266,45631372
2020-10-22,0.773266,0.814353,0.727679,0.789443,0.789443,8230611
2020-10-23,0.788824,1.223731,0.784557,1.183961,1.183961,38903581
2020-10-24,1.183961,1.183961,0.934243,0.965414,0.965414,16575128
2020-10-25,0.965414,0.979845,0.855265,0.901291,0.901291,9232161
2020-10-26,0.901291,0.918314,0.766361,0.823255,0.823255,7645754
2020-10-27,0.823255,0.835728,0.758569,0.781507,0.781507,4413564
2020-10-28,0.781507,0.793279,0.667817,0.681133,0.681133,4115278
2020-10-29,0.681133,0.849281,0.662174,0.798316,0.798316,8176054
2020-10-30,0.798316,0.798316,0.673428,0.727694,0.727694,7696221
2020-10-31,0.727694,0.808534,0.713714,0.784029,0.784029,5400987
2020-11-01,0.784029,0.818578,0.742775,0.744371,0.744371,1112974
2020-11-02,0.748413,0.782212,0.716118,0.727226,0.727226,3683912
2020-11-03,0.727226,0.727500,0.655675,0.697051,0.697051,4172013
2020-11-04,0.697051,0.743056,0.671109,0.713069,0.713069,3455316
2020-11-05,0.713069,0.740456,0.673943,0.696738,0.696738,7955878
2020-11-06,0.696736,0.755024,0.680412,0.747133,0.747133,5632568
2020-11-07,0.747136,0.904805,0.726407,0.783912,0.783912,2518688
2020-11-08,0.783954,0.890017,0.773000,0.834417,0.834417,5713625
2020-11-09,0.834429,1.012310,0.834429,0.978141,0.978141,11600743
2020-11-10,0.978127,1.054007,0.932933,1.009322,1.009322,5973618
2020-11-11,1.009587,1.010120,0.881250,0.912143,0.912143,5960886
2020-11-12,0.912251,0.971885,0.895684,0.920732,0.920732,4054472
2020-11-13,0.920625,1.089690,0.912264,1.060985,1.060985,2268381
2020-11-14,1.060900,1.377798,1.022721,1.289223,1.289223,19751129
2020-11-15,1.289034,1.450195,1.204987,1.283384,1.283384,15766077
2020-11-16,1.283241,1.606762,1.247863,1.530650,1.530650,19544829
2020-11-17,1.547678,1.681894,1.290720,1.427770,1.427770,9550153
2020-11-18,1.427043,1.540691,1.272427,1.367131,1.367131,10730732
2020-11-19,1.366963,1.456961,1.260081,1.299877,1.299877,8122506
2020-11-20,1.299867,1.537338,1.292616,1.412314,1.412314,8111377
2020-11-21,1.412299,1.478227,1.335791,1.376255,1.376255,8379577
2020-11-22,1.376263,1.432310,1.222951,1.310854,1.310854,6887906
2020-11-23,1.310827,1.502278,1.284401,1.412888,1.412888,8919149
2020-11-24,1.412400,1.449912,1.279276,1.297931,1.297931,7790118
2020-11-25,1.298438,1.341875,1.210995,1.210995,1.210995,4430841
2020-11-26,1.210771,1.254681,0.961233,1.057473,1.057473,8993475
